TestSequence, openh264QP ,  ,      ,       ,   ,   , , openh264BR,  ,       ,      ,   ,   ,  ,  X264_Baseline_BR,  ,  ,  ,   ,   ,  X264_Baseline_QP,  ,  ,  ,    ,  ,  X264_Baseline_BR,  ,  ,  ,    ,   ,  X264_Baseline_QP,  ,  ,  ,    ,  
            , BR,     PSNR_Y, PSNR_U,PSNR_V,FPS, ET, , BR,    PSNR_Y, PSNR_U,PSNR_V,FPS, ET,  ,  BR, PSNR_Y,PSNR_U,PSNR_V,	FPS,   ,  BR, PSNR_Y,PSNR_U,PSNR_V,  FPS,  ,  BR, PSNR_Y,PSNR_U,PSNR_V,  FPS,   ,  BR, PSNR_Y,PSNR_U,PSNR_V,   FPS,
BQSquare_416x240_60.yuv_QP_32_TarBit_857,857.6 ,32.371 ,39.024 ,39.569 ,246.552774, 2.437612,  ,858.6 ,31.643 ,38.911 ,39.434 ,241.705766, 2.482357, ,815.56,29.055 ,38.024 ,38.251 ,234.51,  ,1361.43,30.888 ,38.490 ,38.945 ,225.62,  ,809.01,30.080 ,39.025 ,39.448 ,107.11,  ,1145.23,31.262 ,39.287 ,39.818 ,122.86
BQSquare_416x240_60.yuv_QP_36_TarBit_393,393.0 ,29.697 ,38.209 ,38.559 ,304.509785, 1.973664,  ,401.0 ,29.049 ,38.148 ,38.383 ,285.261398, 2.071784, ,378.62,26.635 ,37.466 ,37.551 ,269.73,  ,582.51,27.967 ,37.726 ,37.914 ,261.51,  ,376.19,27.603 ,38.466 ,38.607 ,170.09,  ,498.62,28.486 ,38.597 ,38.889 ,159.84
candyHF2_640x480.yuv_QP_24_TarBit_1425,1425.2 ,44.090 ,44.524 ,44.810 ,102.986697, 4.854996,  ,1424.6 ,43.791 ,44.389 ,44.694 ,102.492726, 4.878395, ,1396.22,43.990 ,44.431 ,44.686 ,90.70,  ,877.03,43.049 ,44.068 ,44.360 ,102.69,  ,1395.75,44.089 ,44.507 ,44.796 ,54.36,  ,984.86,43.351 ,44.288 ,44.604 ,64.10
candyHF2_640x480.yuv_QP_28_TarBit_698,698.3 ,42.108 ,43.637 ,43.895 ,130.210877, 3.839925,  ,698.4 ,41.687 ,43.324 ,43.621 ,126.848854, 3.941699, ,674.49,41.971 ,43.289 ,43.713 ,108.57,  ,450.39,41.049 ,43.004 ,43.275 ,124.86,  ,673.88,41.974 ,43.443 ,43.779 ,75.58,  ,493.13,41.255 ,43.206 ,43.493 ,89.88
candyHF2_640x480.yuv_QP_32_TarBit_374,374.3 ,39.685 ,42.383 ,42.586 ,149.361138, 3.347591,  ,373.4 ,39.126 ,42.251 ,42.449 ,146.343356, 3.402956, ,356.64,39.574 ,42.183 ,42.340 ,124.44,  ,247.98,38.474 ,41.975 ,42.152 ,141.59,  ,356.75,39.602 ,42.421 ,42.647 ,96.90,  ,269.74,38.737 ,42.148 ,42.485 ,111.02
candyHF2_640x480.yuv_QP_36_TarBit_224,224.7 ,37.323 ,41.391 ,41.652 ,163.593669, 3.056353,  ,225.4 ,37.261 ,41.593 ,41.747 ,156.992515, 2.930076, ,210.60,37.122 ,41.033 ,40.918 ,134.97,  ,141.49,35.923 ,40.736 ,41.265 ,153.27,  ,210.94,37.164 ,41.430 ,41.531 ,110.40,  ,153.13,36.176 ,41.140 ,41.440 ,126.34
CITY_704x576_30_orig_01.yuv_QP_24_TarBit_7783,7783.6 ,39.208 ,44.962 ,46.798 ,42.823410, 7.005514,  ,7785.7 ,38.702 ,44.852 ,46.425 ,42.458782, 7.065676, ,7748.01,39.541 ,44.817 ,46.635 ,42.85,  ,4947.24,38.090 ,44.008 ,45.960 ,46.38,  ,7761.81,39.678 ,45.202 ,46.981 ,19.23,  ,5222.14,38.376 ,44.565 ,46.513 ,22.57
CITY_704x576_30_orig_01.yuv_QP_28_TarBit_3544,3544.2 ,36.627 ,43.571 ,45.658 ,51.354430, 5.841755,  ,3547.8 ,35.606 ,43.359 ,45.136 ,50.194873, 5.976706, ,3510.47,36.972 ,43.438 ,45.497 ,48.33,  ,2070.13,35.546 ,42.563 ,44.682 ,54.41,  ,3522.65,37.090 ,43.868 ,45.961 ,25.68,  ,2134.97,35.703 ,43.110 ,45.345 ,31.04
CITY_704x576_30_orig_01.yuv_QP_32_TarBit_1453,1453.3 ,34.019 ,42.112 ,44.330 ,63.996082, 4.687787,  ,1458.2 ,32.662 ,41.915 ,43.862 ,62.005545, 4.757639, ,1418.32,34.329 ,42.070 ,44.255 ,57.94,  ,873.61,32.737 ,41.407 ,43.571 ,67.76,  ,1432.83,34.424 ,42.653 ,44.964 ,36.41,  ,932.94,32.959 ,41.931 ,44.210 ,44.37
CITY_704x576_30_orig_01.yuv_QP_36_TarBit_718,718.1 ,31.607 ,40.989 ,43.139 ,76.822990, 3.905081,  ,737.1 ,30.982 ,40.962 ,43.079 ,73.399514, 3.978228, ,688.15,31.880 ,40.976 ,43.096 ,69.82,  ,430.23,30.145 ,40.184 ,42.043 ,82.34,  ,697.99,31.871 ,41.543 ,43.825 ,48.62,  ,473.45,30.337 ,40.812 ,42.845 ,58.28
